"languages","charset","n_pages_languages","n_pages_charset","n_pages","loglikelihood","prob_cs_given_lang","prob_lang_given_cs"
"aar","UTF-8","3701","2820276978","2495","1.9622129405653628","0.6741421237503378","8.846648820178398E-7"
"aar","ISO-8859-1","3701","103949213","1098","3.7252868965126633","0.29667657389894625","1.0562850533558153E-5"
"abk","UTF-8","4752","2820276978","4474","-0.8045288720541831","0.9414983164983165","1.586369010880888E-6"
"abk","x-MacCyrillic","4752","117786","232","14.213656022147328","0.04882154882154882","0.00196967381522422"
"afr","UTF-8","130382","2820276978","117263","0.1885139285915388","0.8993802825543403","4.157854030463245E-5"
"afr","ISO-8859-1","130382","103949213","8973","1.364217518285167","0.06882084950376585","8.632099985211048E-5"
"afr","windows-1252","130382","15713096","4075","3.5850586988094446","0.03125431424583148","2.593378160484732E-4"
"aka","UTF-8","939","2820276978","872","-0.4348626307593405","0.9286474973375932","3.0918948982747753E-7"
"amh","UTF-8","9290","2820276978","9245","-5.67633386992678","0.9951560818083961","3.278046827356685E-6"
"ara","UTF-8","8139081","2820276978","7119056","0.5701099489189754","0.8746756544135634","0.002524240014556471"
"ara","windows-1256","8139081","2753473","1007317","8.707072672185223","0.1237629899493567","0.36583507446777214"
"ara","windows-1252","8139081","15713096","6777","-3.598898005921465","8.326492880461566E-4","4.3129628941362036E-4"
"ara","ISO-8859-1","8139081","103949213","3823","-8.463324053513672","4.69709049461481E-4","3.677757521839054E-5"
"ara","ISO-8859-15","8139081","3548052","1245","-4.017836443847791","1.5296567266009516E-4","3.5089677377896376E-4"
"ara","windows-1254","8139081","838443","213","-4.665116366986527","2.6170030744257246E-5","2.540423141465788E-4"
"ara","US-ASCII","8139081","917488","165","-5.355784489195569","2.027255902724153E-5","1.7983886437751773E-4"
"ara","x-MacCyrillic","8139081","117786","119","-1.9060534201983836","1.4620815298434798E-5","0.0010103068276365612"
"asm","UTF-8","3497","2820276978","3492","-8.109870206923985","0.9985702030311696","1.2381762597219626E-6"
"aym","UTF-8","632","2820276978","585","-0.35860352925267225","0.9256329113924051","2.0742643526269992E-7"
"aze","UTF-8","1035278","2820276978","1030423","-5.740228277160646","0.995310438355688","3.653623413721317E-4"
"aze","windows-1251","1035278","31259368","1928","-3.360426537750989","0.0018623017199245033","6.167751056259359E-5"
"aze","EUC-JP","1035278","7893108","703","-2.638377876098697","6.790446623998578E-4","8.906504256624894E-5"
"aze","ISO-8859-15","1035278","3548052","672","-1.1323397733864988","6.491010144135199E-4","1.8939970440117563E-4"
"aze","ISO-8859-9","1035278","1190057","572","0.7283056978613557","5.525086015543651E-4","4.8064924621257635E-4"
"aze","ISO-8859-1","1035278","103949213","417","-8.774950247119287","4.0279036162267526E-4","4.011574382963342E-6"
"aze","windows-1254","1035278","838443","293","0.0913674583859322","2.830157696773234E-4","3.494572678166554E-4"
"aze","windows-1252","1035278","15713096","132","-7.354171435795496","1.2750198497408425E-4","8.40063600451496E-6"
"bak","UTF-8","24963","2820276978","24503","-3.0315987448806005","0.9815727276369026","8.688153749131514E-6"
"bak","windows-1251","24963","31259368","456","1.1724475761116917","0.018267035212113928","1.4587626979534582E-5"
"bel","UTF-8","258652","2820276978","242756","-0.712202105820972","0.9385429070720505","8.607523370706321E-5"
"bel","windows-1251","258652","31259368","15803","3.497156040859823","0.06109753645825279","5.055444499069846E-4"
"ben","UTF-8","898873","2820276978","897984","-8.845627171778789","0.999010983754101","3.184027693041715E-4"
"ben","ISO-8859-1","898873","103949213","809","-7.1680451584517195","9.000159088102546E-4","7.782646704597947E-6"
"bih","UTF-8","2516","2820276978","2516","0.189843213826044","1.0","8.921109591811163E-7"
