"capture_time","content_languages","count"
"2019-11-11 19:00:00.000","ron","23445"
"2019-11-11 19:00:00.000","fin","21460"
"2019-11-11 19:00:00.000","ell","13707"
"2019-11-11 19:00:00.000","dan","20603"
"2019-11-11 19:00:00.000","fas","28197"
"2019-11-11 19:00:00.000","ara","22174"
"2019-11-11 19:00:00.000","hun","29202"
"2019-11-11 20:00:00.000","hun","47997"
"2019-11-11 20:00:00.000","ell","21794"
"2019-11-11 20:00:00.000","ara","35384"
"2019-11-11 20:00:00.000","fas","44077"
"2019-11-11 20:00:00.000","dan","32514"
"2019-11-11 20:00:00.000","fin","33914"
"2019-11-11 20:00:00.000","ron","37581"
"2019-11-11 21:00:00.000","ron","24968"
"2019-11-11 21:00:00.000","dan","22800"
"2019-11-11 21:00:00.000","ara","23077"
"2019-11-11 21:00:00.000","fin","22545"
"2019-11-11 21:00:00.000","ell","13321"
"2019-11-11 21:00:00.000","fas","29270"
"2019-11-11 21:00:00.000","hun","32736"
"2019-11-11 22:00:00.000","ara","36611"
"2019-11-11 22:00:00.000","hun","53339"
"2019-11-11 22:00:00.000","fas","46734"
"2019-11-11 22:00:00.000","ron","38606"
"2019-11-11 22:00:00.000","ell","23176"
"2019-11-11 22:00:00.000","fin","37259"
"2019-11-11 22:00:00.000","dan","34660"
"2019-11-11 23:00:00.000","ell","18160"
"2019-11-11 23:00:00.000","dan","26147"
"2019-11-11 23:00:00.000","fin","27969"
"2019-11-11 23:00:00.000","ara","26450"
"2019-11-11 23:00:00.000","hun","38931"
"2019-11-11 23:00:00.000","ron","31245"
"2019-11-11 23:00:00.000","fas","37598"
"2019-11-12 00:00:00.000","fas","37041"
"2019-11-12 00:00:00.000","ara","29673"
"2019-11-12 00:00:00.000","ell","18279"
"2019-11-12 00:00:00.000","ron","30090"
"2019-11-12 00:00:00.000","fin","29255"
"2019-11-12 00:00:00.000","hun","41820"
"2019-11-12 00:00:00.000","dan","28523"
"2019-11-12 01:00:00.000","hun","49964"
"2019-11-12 01:00:00.000","ell","21997"
"2019-11-12 01:00:00.000","ron","36195"
"2019-11-12 01:00:00.000","fas","44867"
"2019-11-12 01:00:00.000","fin","35397"
"2019-11-12 01:00:00.000","ara","35561"
"2019-11-12 01:00:00.000","dan","33001"
"2019-11-12 02:00:00.000","ara","19491"
"2019-11-12 02:00:00.000","fas","23907"
"2019-11-12 02:00:00.000","ell","11183"
"2019-11-12 02:00:00.000","ron","23490"
"2019-11-12 02:00:00.000","fin","19238"
