"capture_time","url_host_tld","count"
"2019-11-11 19:00:00.000","pt","16928"
"2019-11-11 19:00:00.000","me","21923"
"2019-11-11 19:00:00.000","lt","20509"
"2019-11-11 19:00:00.000","mx","15274"
"2019-11-11 19:00:00.000","ir","20540"
"2019-11-11 20:00:00.000","me","35696"
"2019-11-11 20:00:00.000","mx","24824"
"2019-11-11 20:00:00.000","ir","32993"
"2019-11-11 20:00:00.000","pt","32865"
"2019-11-11 20:00:00.000","lt","31045"
"2019-11-11 21:00:00.000","ir","21444"
"2019-11-11 21:00:00.000","me","22577"
"2019-11-11 21:00:00.000","pt","23480"
"2019-11-11 21:00:00.000","mx","15600"
"2019-11-11 21:00:00.000","lt","20086"
"2019-11-11 22:00:00.000","me","34919"
"2019-11-11 22:00:00.000","lt","34265"
"2019-11-11 22:00:00.000","ir","36319"
"2019-11-11 22:00:00.000","pt","34105"
"2019-11-11 22:00:00.000","mx","23967"
"2019-11-11 23:00:00.000","ir","28756"
"2019-11-11 23:00:00.000","me","25855"
"2019-11-11 23:00:00.000","lt","25207"
"2019-11-11 23:00:00.000","pt","27005"
"2019-11-11 23:00:00.000","mx","17514"
"2019-11-12 00:00:00.000","me","29585"
"2019-11-12 00:00:00.000","pt","27045"
"2019-11-12 00:00:00.000","mx","20227"
"2019-11-12 00:00:00.000","lt","25966"
"2019-11-12 00:00:00.000","ir","29864"
"2019-11-12 01:00:00.000","mx","24585"
"2019-11-12 01:00:00.000","me","34541"
"2019-11-12 01:00:00.000","pt","30309"
"2019-11-12 01:00:00.000","ir","34018"
"2019-11-12 01:00:00.000","lt","31164"
"2019-11-12 02:00:00.000","ir","17730"
"2019-11-12 02:00:00.000","pt","18426"
"2019-11-12 02:00:00.000","me","20256"
"2019-11-12 02:00:00.000","lt","17194"
"2019-11-12 02:00:00.000","mx","13481"
"2019-11-12 03:00:00.000","pt","32616"
"2019-11-12 03:00:00.000","me","33551"
"2019-11-12 03:00:00.000","lt","31337"
"2019-11-12 03:00:00.000","ir","33001"
"2019-11-12 03:00:00.000","mx","22280"
"2019-11-12 04:00:00.000","mx","16271"
"2019-11-12 04:00:00.000","me","25970"
"2019-11-12 04:00:00.000","ir","25330"
"2019-11-12 04:00:00.000","pt","24925"
"2019-11-12 04:00:00.000","lt","24577"
"2019-11-12 05:00:00.000","me","26360"
"2019-11-12 05:00:00.000","ir","28225"
"2019-11-12 05:00:00.000","lt","24582"
"2019-11-12 05:00:00.000","mx","19384"
"2019-11-12 05:00:00.000","pt","27927"
"2019-11-12 06:00:00.000","me","31143"
"2019-11-12 06:00:00.000","mx","21719"
"2019-11-12 06:00:00.000","lt","26856"
"2019-11-12 06:00:00.000","pt","30500"
"2019-11-12 06:00:00.000","ir","33860"
"2019-11-12 07:00:00.000","lt","16599"
"2019-11-12 07:00:00.000","pt","17656"
"2019-11-12 07:00:00.000","ir","18661"
"2019-11-12 07:00:00.000","me","19003"
"2019-11-12 07:00:00.000","mx","12349"
"2019-11-12 08:00:00.000","pt","29981"
"2019-11-12 08:00:00.000","lt","32243"
"2019-11-12 08:00:00.000","me","32483"
"2019-11-12 08:00:00.000","mx","22475"
"2019-11-12 08:00:00.000","ir","32622"
"2019-11-12 09:00:00.000","mx","17527"
"2019-11-12 09:00:00.000","lt","23974"
