url,warc_file,warc_record_offset,warc_record_length,warc_content_length,http_content_length,payload_length,http_orig_content_length,http_orig_content_encoding,http_orig_transfer_encoding,truncated_reason,http_content_type,identified_payload_type
http://addaonline.in/wp-content/uploads/2017/12/ADDADGPEDN-62-1718.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,9229410,1026086,1048958,1048576,1048576,1269446,"","",length,application/pdf,application/pdf
http://admin3.cyut.edu.tw/course/course1041.php,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,10457263,56786,1048966,-1,1048576,-1,"",chunked,length,text/html,text/html
http://adult-porno-videoufu-e395.adyghe-language.info/sitemap/sitemap.xml?t=11,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,10808328,40767,1048889,-1,1048576,-1,gzip,chunked,"",text/xml,application/xml
http://afri-love.typepad.com/.a/6a013483832c3b970c01a511ea16e2970c-pi,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,11640522,1049355,1049236,1048576,1048576,1135545,"","",length,image/jpeg,image/jpeg
http://afrodad.org/index.php/center-of-excellence/research/domestic-resource-mobilization/2017?download=58:capacity-development-efforts-in-iffs,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,12740660,963306,1049274,1048576,1048576,2696918,"","","",application/pdf,application/pdf
http://afrodad.org/index.php/news-2/press-room?download=172:c20-communique,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,13704769,1047788,1049259,1048576,1048576,8470000,"","","",application/pdf,application/pdf
http://agrimetal.com/wp-content/uploads/2017/04/GRATTE-%C3%80-NEIGE-MAX-PRO-JOHN-DEERE-3R-6-10-B2016-5.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,15827603,1041269,1048879,1048576,1048576,1301931,"","",length,application/pdf,application/pdf
http://alnajafi.ir/android/alarao-ahfeghheiyeh/4_6037334050794897618.ghm,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,20697234,1049686,1048832,1048576,1048576,7431360,"","",length,"",application/octet-stream
http://appgd88.com/pemain/download/android/pemain.apk,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,26264434,1026545,1048958,1048576,1048576,16760091,"","",length,application/vnd.android.package-archive,application/vnd.android.package-archive
http://asiantaekwondounion.org/index.php?document_srl=1117&act=dispMemberLoginForm&mid=Notice,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,31941380,5799,27080,26412,26412,5059,gzip,"",disconnect,text/html; charset=UTF-8,text/html
http://asiantaekwondounion.org/index.php?document_srl=2022&act=dispMemberLoginForm&mid=Photo,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,31948125,6196,30013,29345,29345,5463,gzip,"",disconnect,text/html; charset=UTF-8,text/html
http://atmo-fund.ru/index.php?view=image&format=raw&id=1445&download=1&type=orig&option=com_joomgallery&Itemid=12,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,33525308,1049776,1049179,-1,1048576,-1,"",chunked,length,image/jpeg; charset=utf-8,image/jpeg
http://auto.lnd.com.cn/1909/price.html,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,35487265,5592,22159,21816,21816,20711,gzip,"",disconnect,text/html;charset=utf-8,text/html
http://belenkoblog.ru/wp-content/uploads/2017/12/DSC_0071-1.jpg,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,43731877,1046155,1048963,1048576,1048576,3000382,"","",length,image/jpeg,image/jpeg
http://bestonlinebroker.co/?tag=%23Investorseurope&tag=Brazil+anti-corruption+division&tag=Curraghinalt+gold&tag=climate+change&tag=European+commission&tag=Gem+Diamonds+Ltd,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,45831400,47973,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://bestonlinebroker.co/?tag=%23Stock+Markets&tag=Aluminium+mining&tag=Antofagasta+plc&tag=price+of+oil&tag=Atlatsa+Resources&tag=Diamond+price&tag=Beatrix+West+gold+mine&tag=Chinese+coal+power,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,45880394,45816,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://bestonlinebroker.co/?tag=ADM+shares&tag=assistant+to+the+president&tag=Diesel+and+jet+fuel&tag=Investor+capital&tag=EIA+inventory+data,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,45927214,49979,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://bestonlinebroker.co/?tag=Adam+Bowles&tag=Aluminium+prices&tag=S%26P+Global+Platts&tag=Bonfire&tag=KBR&tag=Federal+Energy+Regulatory+Commission,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,45978171,49086,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://bestonlinebroker.co/?tag=Atlatsa+Resources&tag=Andone&tag=power+plants&tag=Hilary+Clinton&tag=GBX&tag=AngloGold,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,46028220,51478,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://bip.gminazlota.pl/pliki/kontrolazarzadcza15.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,49481107,879314,1048863,1048576,1048576,3055950,"","",length,application/pdf,application/pdf
http://cc-golfedesainttropez.fr/images/Kiosque/Institutionnel/RA_SPANC_2017.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,64516182,948036,1049066,1048576,1048576,1052502,"","",length,application/pdf,application/pdf
http://ceepcb.com/h-nd-49.html,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,66194366,26757,136754,-1,136113,-1,gzip,chunked,disconnect,text/html; charset=UTF-8,application/xhtml+xml
http://collections.cinematheque.qc.ca/recherche/multi?q%5B0%5D=%22saint%22&form_operator%5B0%5D=+&form_field%5B0%5D=%2A&core=photos-et-affiches&fq%5B0%5D=DescripteursNom_facet:%22Andr%C3%A9+P%C3%A2quet%22&fq%5B1%5D=Artisan_facet:%22Guy+Saint-Denis%22&page=1,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,77345592,73858,1049328,-1,1048576,-1,"",chunked,length,text/html; charset=UTF-8,text/html
http://contents.kocw.net/document/03_00.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,80579131,1034739,1048844,1048576,1048576,1736437,"","","",application/pdf,application/pdf
http://cstor.com/wp-content/uploads/2017/03/cStor-DRaaS.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,84789015,1015644,1048942,-1,1048576,-1,gzip,chunked,"",application/pdf,application/pdf
http://dafeng.js.cn/dfgk/lyzx/248302.shtml,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,87668520,790732,1048767,1048576,1048576,1146771,"","",length,text/html,application/xhtml+xml
http://ddell.kr/shop/shopdetail.html?branduid=1322894&xcode=025&mcode=001&scode=&type=Y&sort=manual&cur_code=025001&GfDT=bm96W11E,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,90807694,21315,1049257,-1,1048576,-1,gzip,chunked,"",text/html,text/html
http://desphotospleinlesyeux.melaniebeuf.com/tag/ancolie/,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,93557351,59215,1048944,-1,1048576,-1,gzip,chunked,"",text/html; charset=UTF-8,text/html
http://detskezoubky.cz/dl6b4108/,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,94400631,213533,1048927,-1,1048576,-1,gzip,chunked,"",text/html; charset=UTF-8,text/html
http://diorama-clervaux.com/Pictures/opderHohEN.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,97081850,1047348,1048841,1048576,1048576,7682966,"","",length,application/pdf,application/pdf
http://domakva.ru/tag/%D0%BA%D0%B0%D1%80%D0%BA%D0%B0%D1%81%D0%BD%D1%8B%D0%B9.html,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,101808264,7192,24047,-1,23364,-1,gzip,chunked,disconnect,text/html; charset=utf-8,application/xhtml+xml
http://download.cdn.mozilla.net/pub/firefox/releases/3.6.13/win32/nl/Firefox%20Setup%203.6.13.exe,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,102951802,1036269,1049248,1048576,1048576,9257568,"","",length,application/x-msdownload,application/x-dosexec
http://downtown.kaleideum.org/wp-content/uploads/sites/3/2017/04/visual-schedule-with-The-Prop-Shop.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,104064472,1021981,1048940,1048576,1048576,1077745,"","",length,application/pdf,application/pdf
http://ds43.nevinsk.ru/wp-content/uploads/2013/06/IMG_00671.jpg,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,105955838,1031901,1049030,1048576,1048576,7527294,"","",length,image/jpeg,image/jpeg
http://dungeonmorphs.com/battlemats/cavernj2.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,107550834,802296,1048981,1048576,1048576,5350235,"","",length,application/pdf,application/pdf
http://el-atril.com/partituras/Haydn/String%20Quartets/Op1a3pts.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,115380660,981350,1048885,1048576,1048576,3964835,"","",length,application/pdf,application/pdf
http://eldoninc.eu/Scales/Algem%20Floor%20platforms%202015.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,117154682,1000355,1048923,1048576,1048576,4800606,"","",length,application/pdf,application/pdf
http://en.blitzortung.org/Compendium/Documentations/Documentation_2014-05-11_Red_PCB_10.4_PCB_12.3_PCB_13.1_PCB_14.1.pdf?1531406071,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,120362443,1004913,1048838,1048576,1048576,10851039,"","",length,application/pdf,application/pdf
http://ene.mn/index.php?newsid=22,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,121814925,16155,73709,-1,73179,-1,gzip,chunked,disconnect,text/html; charset=UTF-8,text/html
http://esperer-95.org/wp-content/uploads/2016_09-Bulletin-Info-SIAO95.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,125461487,994041,1049063,1048576,1048576,1646399,"","",length,application/pdf,application/pdf
http://exploracionovni.com/2011/11/exopolitica-y-diplomacia-galactica/,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,128776218,34343,200663,-1,200050,-1,gzip,chunked,disconnect,text/html; charset=UTF-8,text/html
http://facetofacenyc.com/Quick_ER_Quotes.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,129645595,851587,1048863,1048576,1048576,2408030,"","",length,application/pdf,application/pdf
http://febras.ru/niso/2017.html?view=archive&month=8,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,133099391,16287,62338,-1,61871,-1,gzip,chunked,disconnect,text/html; charset=utf-8,application/xhtml+xml
http://filema.ir/tag/%D8%A8%D8%B1%D9%82,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,134402065,180341,1048937,-1,1048576,-1,gzip,chunked,"",text/html; charset=utf-8,application/xhtml+xml
http://filema.ir/tag/%D8%B9%D9%85%D9%84%DA%A9%D8%B1%D8%AF-%D8%AA%D8%AD%D8%B5%DB%8C%D9%84%DB%8C,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,134583278,140316,1048937,-1,1048576,-1,gzip,chunked,"",text/html; charset=utf-8,application/xhtml+xml
