"n_pages","perc_pages","avg_warc_record_length","sum_warc_record_length","perc_warc_storage","content_mime_detected","perc_truncated","reasons_truncation"
"2002557402","77.3010550961912","20194.565327838227","40440776277435","71.05062117862893","text/html","0.7575778844016378","{disconnect=1265692, length=13904449, time=791}"
"555659037","21.44908794671023","16924.268163353925","9404122549579","16.52215437714933","application/xhtml+xml","0.7192655448524632","{disconnect=817826, length=3178707, time=131}"
"12206558","0.4711873984488429","420853.16768887674","5137168600878","9.025519631169661","application/pdf","24.02818222794665","{disconnect=11271, length=2921479, time=264}"
"3932068","0.15178241822501845","259009.327559442","1018442288598","1.789306830884156","image/jpeg","9.780960044434634","{disconnect=2065, length=382529}"
"3424865","0.13220378991264337","7229.624542573211","24760488059","0.04350183698772352","application/rss+xml","0.6274991860993061","{disconnect=2245, length=19236, time=10}"
"3261205","0.12588632272573141","3847.0386283597627","12545981610","0.022042103756142167","application/atom+xml","0.1283881264747233","{disconnect=24, length=4163}"
"2068745","0.07985597369906008","10440.048753713","21597798659","0.03794529067111761","text/plain","2.28989073085373","{disconnect=3805, length=43556, time=11}"
"1713357","0.06613758173631863","16849.207263284883","28868707209","0.05071958969709245","application/xml","5.2013094760753305","{disconnect=1894, length=87221, time=2}"
"959303","0.037030216453661245","2207.0462075069086","2117226048","0.0037197660315415396","text/calendar","0.18503017294848448","{disconnect=773, length=1002}"
"633507","0.024454110260167614","3968.370816739199","2513990691","0.00441684400436464","application/json","0.39746995692233866","{disconnect=13, length=2505}"
"584080","0.022546170319757638","236023.7710467744","137856764193","0.24220130351586974","image/png","9.197883851527187","{disconnect=265, length=53457, time=1}"
"329265","0.01271001364596459","84142.46365085873","27705168294","0.04867536180915287","application/octet-stream","8.815999271103822","{disconnect=149, length=28879}"
"239943","0.009262080100386259","4914.499114372997","1179199661","0.0020717423382999576","application/rdf+xml","0.5334600300904798","{disconnect=16, length=1264}"
"222256","0.008579341238508514","456851.1604186164","101537911510","0.17839251246004353","application/zip","33.39797350802678","{disconnect=256, length=73971, time=2}"
"147410","0.005690198203731464","920645.1443389186","135712300727","0.23843368391557063","audio/mpeg","85.80828980394817","{disconnect=93, length=126384, time=13}"
"128140","0.0049463536925998895","1550.15905259872","198637381","3.489871018430691E-4","application/x-bibtex-text-file","0.018729514593413453","{disconnect=9, length=15}"
"95335","0.003680042369939211","15836.552850474642","1509777766","0.0026525368202646783","text/x-vcard","0.6818062621282844","{disconnect=204, length=446}"
"89228","0.0034443050357679333","11465.688124803874","1023060420","0.0017974204512198693","text/x-php","0.3182857399022728","{disconnect=7, length=277}"
"80012","0.003088556669676154","3012.860083487477","241064961","4.2352834935586715E-4","text/x-perl","0.05749137629355597","{disconnect=24, length=22}"
"74780","0.0028865953576761335","141932.02365605778","10613676729","0.018647226734996754","application/x-tika-msoffice","9.943835250066863","{disconnect=206, length=7227, time=3}"
"74299","0.002868028195773991","12055.524771531245","895713435","0.0015736838362893552","text/x-log","2.528970780225844","{length=1879}"
"72788","0.002809701830630254","97802.44637852393","7118844467","0.012507136806288732","image/gif","4.926636258723965","{disconnect=106, length=3480}"
"70255","0.0027119250715904888","258999.38613621806","18196001873","0.03196865527938736","application/gzip","19.850544445235215","{disconnect=148, length=13796, time=2}"
"69344","0.0026767594073641857","17590.14191566682","1219770801","0.002143021996216256","application/rtf","4.453161052145823","{disconnect=11, length=3077}"
"69081","0.0026666073001287106","88735.68657083713","6129949964","0.010769742641639974","application/msword","4.620662700308333","{disconnect=118, length=3074}"
"68436","0.0026417095466424695","9596.81097667894","656767356","0.0011538781623161617","text/csv","3.238061838798293","{disconnect=9, length=2207}"
"63038","0.0024333404407219593","12931.011754814557","815145119","0.0014321329209497267","application/mbox","1.6196579840730987","{length=1021}"
"61154","0.0023606158398412178","128114.49949308304","7834714102","0.013764852086053249","application/vnd.openxmlformats-officedocument.wordprocessingml.document","4.810805507407529","{disconnect=43, length=2899}"
"57861","0.0022335021929727034","526280.941687838","30451141567","0.05349977728149942","application/epub+zip","28.482051813829695","{disconnect=26, length=16448, time=6}"
"55546","0.0021441404885996058","5871.314676124293","326128045","5.729761471950541E-4","application/vnd.google-earth.kml+xml","0.9163576135095236","{disconnect=4, length=505}"
"55258","0.0021330233521592375","8431.872869086828","465928431","8.185922105012974E-4","text/x-diff","0.627963371819465","{disconnect=3, length=344}"
"54456","0.002102065215266268","292029.7608527986","15902772657","0.02793966831870198","image/tiff","59.405758777728806","{disconnect=4, length=32346}"
"53244","0.0020552805994130522","2831.3088986552475","150750211","2.648538707783363E-4","text/x-matlab","0.17466756817669596","{disconnect=10, length=83}"
"49684","0.00191786044063628","1561.7885838499315","77595904","1.363286684284919E-4","application/x-endnote-refer","0.006038161178649062","{length=3}"
