"n_pages","content_mime_detected","top_tlds","top_domains"
"64028128","text/html","[{com, 35911127}, {org, 3010643}, {uk, 2290946}, {de, 1834358}, {ru, 1589712}, {net, 1457425}, {br, 1246223}, {au, 1142920}, {fr, 1072570}, {ca, 763557}, {nl, 725932}, {it, 622723}, {ch, 612226}, {jp, 536402}, {pl, 491053}, {be, 429569}, {in, 420001}, {es, 385777}, {co, 370539}, {info, 288658}, {shop, 268285}, {eu, 266495}, {se, 265920}, {at, 258754}, {ua, 253049}]","{gap.com=35349, befonts.com=31885, houzz.com=31964, forbes.ru=36904, ubereats.com=33910, momondo.com=53968, wicz.com=31837, adobe.com=32445, ebay.com=154563, blogspot.com=121515, hm.com=53604, amazon.com=44496, tripadvisor.com=45514, foodingredientsfirst.com=32700, yahoo.com=104344, olx.pl=34090, pinterest.com=60404, google.com=261575, officedepot.com=33552, ford.co.uk=31988, triathlon.org=40043, statcounter.com=136324, shein.com=110114, imdb.com=51344, tuoitre.vn=49023, bild.de=31410, cian.ru=396174, investing.com=209620, op.gg=33802, olx.ro=32705, hotels.com=50717, puma.com=44868, fentybeauty.com=36454, atlassian.net=144704, doordash.com=50295, falabella.com=33087, hotelscombined.com=50470, decathlon.es=33746, cbssports.com=61178, 163.com=32968, kayak.com=153965, wn.com=31280, yandex.ru=65281, ford.com=34392, almayadeen.net=31372, sigmaaldrich.com=35022, wixsite.com=64888, cheapflights.com=39368, microsoft.com=57941, ndtv.com=34728}"
"5232274","application/pdf","[{com, 1062445}, {org, 524607}, {de, 284086}, {jp, 280361}, {ru, 192376}, {it, 153948}, {gov, 143574}, {net, 142688}, {uk, 140201}, {fr, 128446}, {br, 127142}, {pl, 111948}, {edu, 107304}, {in, 102778}, {nl, 79472}, {ca, 77883}, {au, 71251}, {ch, 69784}, {es, 64216}, {cz, 61065}, {eu, 57208}, {mx, 52941}, {ro, 51825}, {id, 45008}, {at, 40845}]","{musopen.org=4949, pensoft.net=4260, hubspotusercontent-na1.net=4212, archive.org=5076, nii.ac.jp=4278, mtak.hu=3693, oracle.com=3814, mit.edu=6050, copernicus.org=6409, forddirect.com=10522, wa.gov=5946, cloudfront.net=6739, gov.bc.ca=4487, bps.go.id=4231, amazonaws.com=10090, annualreports.com=3692, ca.gov=8816, undip.ac.id=3639, muzhp.pl=3761, legistar.com=5408, arxiv.org=8976, windows.net=11931, www.gob.pe=3763, europa.eu=6101, usercontent.one=5975, spb.ru=3579, portal.gov.bd=4420, nrc.gov=7318, tatarstan.ru=4325, umn.edu=4053, jimcontent.com=23099, azureedge.net=5152, uni-paderborn.de=3808, delhi.gov.in=5140, googleapis.com=3728, flvc.org=4694, finalsite.net=14536, wsimg.com=10669, uspto.gov=4030, amf-france.org=3826, psu.edu=3802, b-cdn.net=3719, bih.nic.in=6944, hal.science=8483, pa.go.kr=5213, ucl.ac.uk=3669, cern.ch=6541, uni-heidelberg.de=4076, loc.gov=5486, thieme.de=3694}"
"1515360","application/xhtml+xml","[{com, 624020}, {ru, 261408}, {net, 49223}, {br, 47314}, {org, 37626}, {de, 34354}, {ca, 33259}, {ar, 23176}, {fr, 19165}, {nl, 19109}, {cz, 18351}, {pl, 18213}, {by, 17631}, {jp, 17134}, {gr, 14000}, {gov, 13798}, {cn, 12279}, {it, 11734}, {xn--p1ai, 10197}, {es, 9887}, {info, 9881}, {ua, 9188}, {vn, 9005}, {eu, 8942}, {hu, 8591}]","{topescort.com=4145, blogspot.com=77275, cloudfront.net=2989, wikidot.com=3843, socrata.com=14804, diariodeunamujermadreyesposa.com=2995, mynavyexchange.com=2195, escapadarural.com=4682, assisramalho.com.br=2224, kudyznudy.cz=2776, vuodatus.net=7896, poshmark.ca=2794, blog.jp=4683, momentoverdadeiro.com=2419, forkeratea.com=3009, merlins.org=3908, halfords.com=15767, pattinsonworld.com=2530, poshmark.com=18378, ebc.com.br=4445, kathrynsreport.com=2693, bonanza.com=4781, 21vek.by=4351, datos.gov.co=3063, developpez.com=19889, house.gov=6088, azurewebsites.net=2805, 4home.sk=3380, onxmaps.com=11722, nickalive.net=4373, haramain.info=2985, rolexmagazine.com=2869, languagecourse.net=2260, hi-fi-forum.net=2463, drogariasaopaulo.com.br=6009, moptu.com=2529, hojasmagicas.cl=3257, meincupcake.de=2401, mastercard.com=2927, terminalcastelo.com=2274, diariodezihuatanejo.mx=2151, ocaml.org=2277, boardgamearena.com=14691, utoronto.ca=5221, ligfietsers.nl=2666, blogletras.com=2631, 4home.cz=3446, dodgersblueheaven.com=3868, stat.fi=3758, equestriadaily.com=4189}"
"90376","text/plain","[{com, 25031}, {org, 15220}, {edu, 6180}, {fr, 5868}, {gov, 5736}, {at, 4833}, {net, 4067}, {de, 3875}, {ru, 1852}, {jp, 1417}, {ca, 1141}, {es, 1106}, {ch, 1070}, {cz, 937}, {se, 722}, {nl, 715}, {pt, 703}, {cn, 654}, {au, 629}, {pl, 622}, {ir, 555}, {it, 488}, {gr, 465}, {br, 457}, {io, 442}]","{waia.asn.au=484, uni-leipzig.de=484, tu-freiberg.de=448, potaroo.net=419, tuwien.ac.at=4772, mit.edu=352, u-strasbg.fr=4479, unibe.ch=802, uvigo.es=487, cvut.cz=517, jussieu.fr=472, freebsd.org=1129, msu.edu=467, uw.edu=894, liu.se=416, naist.jp=370, automationdirect.com=516, washington.edu=418, u-picardie.fr=483, shatel.ir=485, rcsb.org=3974, blackrock.com=1143, homd.org=772, athabascau.ca=601, jaea.go.jp=688, tum.de=556, pnl.gov=475, pcextreme.nl=480, sustech.edu.cn=485, umn.edu=480, nasa.gov=3327, noaa.gov=1031, appspot.com=7817, ilo.org=344, mythic-beasts.com=480, ucar.edu=363, tu-bs.de=495, co99.net=649, uni-frankfurt.de=480, ucla.edu=395, axis.com=1356, netbsd.org=673, purdue.edu=485, ubuntu.com=2365, ubuntu-tw.org=457, chint.com=658, wmflabs.org=2579, uni-altai.ru=820, uc.pt=490, otenet.gr=459}"
"43363","application/octet-stream","[{gov, 11414}, {edu, 9798}, {org, 4564}, {com, 3411}, {es, 2332}, {de, 2276}, {net, 1630}, {fr, 1452}, {ir, 768}, {cz, 556}, {cn, 490}, {st, 396}, {no, 377}, {ru, 355}, {int, 336}, {se, 282}, {jp, 271}, {software, 260}, {eu, 198}, {pl, 155}, {ca, 155}, {br, 142}, {ro, 136}, {nl, 122}, {uk, 118}]","{sove.no=306, uni-hannover.de=381, xmission.com=260, obspm.fr=1328, synologydownload.com=272, sohu.com=313, mit.edu=7371, muni.cz=305, ghbook.ir=752, njit.edu=213, fcitx-im.org=204, ldg-gaming.eu=132, meulie.net=147, agitated.net=448, riken.jp=106, freebsd.org=873, fsho.st=396, ucsc.edu=340, windows.net=166, wut.de=94, dal.ca=134, dd-wrt.com=192, openpandora.org=92, ncedc.org=328, lancom.de=356, linux.ro=129, zenodo.org=104, kakaocdn.net=90, navarra.es=2277, gentoo.org=313, nasa.gov=11345, mikrotik-software.de=567, fau.de=253, physionet.org=372, createlab.org=359, debian.org=135, cncb.ac.cn=314, umu.se=253, ucla.edu=949, yandex.ru=107, wfr.software=260, psu.edu=125, purdue.edu=125, ubuntu.com=181, ufpr.br=115, quakeworld.nu=85, esa.int=336, wustl.edu=316, openwrt.org=451, dimensiondata.com=109}"
"26964","application/xml","[{com, 12043}, {org, 1749}, {xyz, 1533}, {edu, 1152}, {de, 1097}, {gov, 1079}, {ru, 970}, {net, 783}, {cn, 671}, {cz, 665}, {pl, 388}, {nl, 381}, {au, 291}, {fr, 279}, {uk, 266}, {nz, 251}, {it, 225}, {eu, 180}, {br, 171}, {il, 155}, {jp, 131}, {es, 128}, {top, 124}, {ca, 115}, {za, 91}]","{archive.org=65, mixcloud.com=308, deutschestextarchiv.de=61, moto-vision.com=103, sbwl.com=95, 9mods.net=116, uwyo.edu=73, lestory.cn=99, almanhal.com=217, kde.org=72, jiyancloud.com=204, fastestknowntime.com=177, govinfo.gov=234, createporn.com=431, ukqu.com=102, hepsiburada.com=81, quantum-simulation.org=93, author.today=85, maplesoft.com=125, sec.gov=306, uoregon.edu=175, sougougou.cn=81, gov.cz=573, magicznyrynek.pl=267, dbd.go.th=64, essabuy.com=60, unl.edu=106, webkit.org=88, bitcrew.dev=68, geonet.org.nz=237, lincoln.ac.uk=64, finacbooks.com=381, nsw.gov.au=194, 51jiaoxi.com=82, sacompany.co.za=74, overheid.nl=219, utvwindshieldsandaccessories.com=140, psu.edu=485, wearbanks.com=100, alteryx.com=86, data.gouv.fr=66, mif-bond.ru=509, ufpr.br=85, overstock.com=283, alanyagrillholzminden.de=580, loc.gov=361, zkh.com=86, xtom.jp=86, goodjobsfirst.org=69, frogtutoring.com=73}"
"11915","application/rss+xml","[{com, 6781}, {fm, 742}, {org, 489}, {net, 335}, {ru, 320}, {de, 308}, {uk, 204}, {ca, 168}, {jp, 151}, {fr, 145}, {ro, 136}, {es, 135}, {it, 121}, {edu, 112}, {co, 92}, {au, 86}, {pl, 84}, {kr, 62}, {cz, 55}, {ua, 55}, {ir, 51}, {br, 51}, {me, 48}, {info, 48}, {dev, 47}]","{art19.com=89, coj.go.th=19, pheasantsforever.org=18, guidelinepharma.com=24, soundcloud.com=72, substack.com=19, buzzsprout.com=620, ausha.co=61, onlineoops.com=21, accc.gov.au=19, fireside.fm=137, emiliosilveravazquez.com=33, csif.es=42, kajabi.com=36, blogspot.com=18, simplecast.com=206, turus.net=42, anchor.fm=220, feedburner.com=257, uni-bremen.de=56, follow.it=18, rthk.hk=29, ss-blog.jp=20, 2star.it=19, audiomeans.fr=33, scienceblogs.com=66, backblazeb2.com=17, surgicalneurologyint.com=105, acast.com=274, redcircle.com=113, eventdecordirect.com=34, omnycontent.com=187, dreamnews.jp=33, semperfidelis.ro=117, productsafety.gov.au=27, lincoln.ac.uk=62, podbean.com=334, captivate.fm=193, fieldtomarket.org=43, blogtalkradio.com=26, stalawfirm.com=272, bbci.co.uk=32, pp.ua=31, spreaker.com=44, transistor.fm=127, cobourg.ca=30, podfm.ru=28, cambridge.ca=31, exent.com=19, libsyn.com=1142}"
"11794","application/epub+zip","[{org, 4493}, {com, 2599}, {pl, 520}, {fr, 430}, {eu, 414}, {no, 257}, {cr, 197}, {es, 192}, {my, 178}, {jp, 174}, {br, 156}, {net, 152}, {ir, 149}, {de, 138}, {ru, 137}, {edu, 125}, {za, 125}, {sk, 100}, {info, 90}, {mx, 89}, {ro, 85}, {cz, 70}, {it, 67}, {co, 59}, {ar, 58}]","{amnh.org=32, archive.org=53, udesc.br=56, ghbook.ir=147, bnro.ro=84, iformat.pl=46, tea-ebook.com=1296, ucr.ac.cr=108, robinhardyabbeylands.com=35, asmartbear.com=46, ssph-journal.org=43, gutenberg.org=1950, boe.es=50, e-ce.org=44, lavoisier.fr=29, researcherslinks.com=70, norskeserier.no=86, koreamed.org=43, tolstoy.ru=33, immateriel.fr=237, frontiersin.org=677, nexto.pl=296, artforum.sk=71, fadedpage.com=31, crimsonpublishers.com=29, abertzalekomunista.net=52, usm.my=178, bestselgerklubben.no=33, interforum.fr=76, open.edu=44, cappelendamm.no=77, oapen.org=28, bccks.jp=29, googleapis.com=34, jbsoc.or.jp=46, krimklubben.no=30, sajs.co.za=32, dibuk.eu=368, e-crt.org=78, jhu.edu=40, techscience.com=257, puboo.jp=62, mlp.cz=29, ip-connect.info=62, nextore.pl=62, microsoft.com=58, una.ac.cr=68, aanda.org=459, ebible.org=55, fao.org=34}"
"8596","application/json","[{net, 1498}, {com, 1165}, {nz, 1013}, {org, 818}, {info, 694}, {nl, 617}, {jp, 229}, {gov, 226}, {de, 211}, {edu, 201}, {io, 166}, {fr, 101}, {cz, 90}, {hn, 85}, {tw, 85}, {co, 81}, {se, 78}, {lu, 74}, {dev, 68}, {it, 64}, {at, 61}, {es, 55}, {ca, 47}, {th, 42}, {be, 41}]","{openmmlab.com=25, xemacs.org=24, suse.com=60, sefin.gob.hn=84, flatcar-linux.net=52, geneontology.org=26, tuwien.ac.at=24, digirati.io=103, kubik-rubik.de=27, wide.ad.jp=163, public.lu=73, huggingface.co=71, cityofnewyork.us=27, leuke-kleurplaten.nl=545, es.net=26, jleonpro.com=130, freifunk.net=977, liu.se=24, heptapod.net=261, uscg.gov=56, tenerife.es=31, noe.gv.at=24, windows.net=46, adventhealth.com=42, hcadam.com=142, geha.com=32, fder.edu.uy=28, lietuvosfinansai.lt=28, umd.edu=24, gentoo.org=44, disroot.org=181, arcgis.com=98, dbd.go.th=36, princeton.edu=55, r-universe.dev=40, githubusercontent.com=43, geonet.org.nz=1013, dataforsyningen.dk=28, data.gov.lv=34, opendem.info=673, axis.com=57, ripe.net=62, istruzione.it=25, anct.gouv.fr=39, karneval.cz=52, umich.edu=45, loc.gov=27, hsinchu.gov.tw=35, openbenchmarking.org=44, ajam.dev=23}"
"7322","application/x-matlab-data","[{edu, 3704}, {ch, 2658}, {org, 451}, {de, 318}, {at, 64}, {gov, 30}, {uk, 26}, {pt, 20}, {fr, 20}, {com, 9}, {eu, 6}]","{rctn.org=1, emso.eu=2, xief.net=1, mit.edu=4, columbia.edu=8, sunysb.edu=5, unibe.ch=2, duke.edu=18, vlfeat.org=1, snippetinfo.net=1, openei.org=1, gatech.edu=1, eigenvector.com=3, uni.lu=2, kth.se=1, unipd.it=3, bco-dmo.org=8, ku.edu=3566, tu-darmstadt.de=314, memcauliffe.com=3, nyu.edu=1, hw.ac.uk=23, zenodo.org=94, umn.edu=11, 4tu.nl=2, lancs.ac.uk=1, seanoe.org=3, whoi.edu=21, noaa.gov=30, ethz.ch=2656, case.edu=4, ista.ac.at=1, globus.org=1, inria.fr=20, tamu.edu=62, mpg.de=3, physionet.org=342, filedn.eu=2, lookingatpeople.com=2, abo.fi=1, hcburger.com=1, ucsd.edu=3, monash.edu.au=1, unibs.it=1, ic.ac.uk=1, itc.nl=1, soundsoftware.ac.uk=1, emodnet.eu=2, tugraz.at=63, uc.pt=20}"
