"count_trunc","count_total","perc_trunc","storage_trunc_gib","content_mime_detected","url_host_registered_domain"
"382732","641341","59.677","53.44","text/html","cian.ru"
"251855","994310","25.330","42.19","text/html","google.com"
"208234","272893","76.306","29.89","text/html","investing.com"
"131529","211563","62.170","23.87","text/html","atlassian.net"
"33131","35897","92.295","22.52","text/html","forbes.ru"
"154334","271968","56.747","20.86","text/html","ebay.com"
"23073","85633","26.944","20.75","application/pdf","jimcontent.com"
"148671","153963","96.563","19.20","text/html","kayak.com"
"93800","716987","13.083","17.42","text/html","yahoo.com"
"101144","251546","40.209","16.90","text/html","shein.com"
"13443","70288","19.126","11.92","application/pdf","finalsite.net"
"127288","280106","45.443","10.67","text/html","statcounter.com"
"57367","345291","16.614","9.87","text/html","wixsite.com"
"11192","39931","28.028","9.77","application/pdf","windows.net"
"120693","11985708","1.007","9.76","text/html","blogspot.com"
"10249","10378","98.757","9.56","application/pdf","forddirect.com"
"48919","57949","84.417","8.28","text/html","doordash.com"
"11594","18148","63.886","7.62","application/xhtml+xml","onxmaps.com"
"42575","169977","25.048","7.04","text/html","imdb.com"
"48351","590175","8.193","6.69","text/html","microsoft.com"
"51554","2134905","2.415","6.45","text/html","pinterest.com"
"33915","48475","69.964","6.35","text/html","tuoitre.vn"
"29165","45395","64.247","6.16","text/html","almayadeen.net"
"77274","6445440","1.199","5.76","application/xhtml+xml","blogspot.com"
"37872","65639","57.697","5.69","text/html","hotels.com"
"11855","28040","42.279","5.57","text/html","vodafone.de"
"37624","37731","99.716","5.36","text/html","hotelscombined.com"
"26294","30469","86.298","5.21","text/html","sigmaaldrich.com"
"24070","26592","90.516","5.21","text/html","westernunion.com"
"35952","36464","98.596","5.09","text/html","momondo.com"
"34681","36255","95.659","4.89","text/html","cheapflights.com"
"52986","194112","27.297","4.82","text/html","yandex.ru"
"27638","28248","97.841","4.61","text/html","falabella.com"
"22513","93817","23.997","4.41","text/html","ndtv.com"
"12801","12802","99.992","4.20","text/html","coppel.com.ar"
"39356","52224","75.360","4.13","text/html","hm.com"
"17579","40682","43.211","4.01","text/html","post.ch"
"14726","18594","79.198","3.95","application/xhtml+xml","socrata.com"
"17785","23110","76.958","3.85","text/html","gucci.com"
"13932","14134","98.571","3.73","text/html","swissinfo.ch"
"19344","24939","77.565","3.62","text/html","flipboard.com"
"26475","27371","96.726","3.57","text/html","prothomalo.com"
"13023","13023","100.000","3.52","text/html","tvsvizzera.it"
"19133","28562","66.988","3.52","text/html","origo.hu"
"23427","62489","37.490","3.50","text/html","cnn.com"
"43581","202248","21.548","3.48","text/html","cbssports.com"
"13494","19701","68.494","3.46","text/html","workaway.info"
"29948","161537","18.539","3.31","text/html","tripadvisor.com"
